Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2013,92109,54,16.7,18+,San Diego
2013,92110,45,20.4,18+,San Diego
2013,92111,109,29.0,18+,San Diego
2013,92113,282,87.0,18+,San Diego
2013,92114,355,75.9,18+,San Diego
2013,92115,195,39.7,18+,San Diego
2013,92116,64,25.7,18+,San Diego
2013,92117,89,22.3,18+,San Diego
2013,92118,19,11.7,18+,San Diego
2013,92119,36,18.0,18+,San Diego
2013,92120,55,25.9,18+,San Diego
2013,92122,37,10.7,18+,San Diego
2013,92123,54,24.9,18+,San Diego
2013,92124,30,11.4,18+,San Diego
2013,92126,114,22.6,18+,San Diego
2013,92127,25,8.0,18+,San Diego
2013,92128,44,10.6,18+,San Diego
2013,92129,65,17.8,18+,San Diego
2013,92130,30,9.8,18+,San Diego
2013,92131,24,12.8,18+,San Diego
2013,92139,104,39.0,18+,San Diego
2013,92154,167,29.4,18+,San Diego
2013,92173,67,33.4,18+,San Diego
2013,92201,179,39.4,18+,Riverside
2013,92203,36,18.9,18+,Riverside
2013,92211,40,23.6,18+,Riverside
2013,92220,139,65.1,18+,Riverside
2013,92223,143,44.8,18+,Riverside
2013,92225,100,50.3,18+,Riverside
2013,92227,149,82.7,18+,Imperial
2013,92230,19,97.5,18+,Riverside
2013,92231,77,26.2,18+,Imperial
2013,92233,15,26.2,18+,Imperial
2013,92234,96,24.2,18+,Riverside
2013,92236,100,39.8,18+,Riverside
2013,92240,107,41.7,18+,Riverside
2013,92241,16,18.6,18+,Riverside
2013,92243,222,62.0,18+,Imperial
2013,92250,18,28.5,18+,Imperial
2013,92251,48,26.5,18+,Imperial
2013,92252,48,70.8,18+,San Bernardino
2013,92253,52,19.4,18+,Riverside
2013,92254,23,34.9,18+,Riverside
2013,92257,12,96.6,18+,Imperial
2013,92260,52,22.1,18+,Riverside
2013,92262,93,49.0,18+,Riverside
2013,92264,47,41.6,18+,Riverside
2013,92270,23,13.2,18+,Riverside
2013,92274,43,26.3,18+,Riverside
2013,92276,17,25.5,18+,Riverside
2013,92277,54,33.2,18+,San Bernardino
2013,92284,70,38.8,18+,San Bernardino
2013,92301,176,81.9,18+,San Bernardino
2013,92307,226,78.9,18+,San Bernardino
2013,92308,170,56.6,18+,San Bernardino
2013,92311,250,108.6,18+,San Bernardino
2013,92313,16,17.0,18+,San Bernardino
2013,92314,28,34.0,18+,San Bernardino
2013,92315,26,97.8,18+,San Bernardino
2013,92316,100,44.2,18+,San Bernardino
2013,92317,18,89.7,18+,San Bernardino
2013,92320,20,29.6,18+,Riverside
2013,92324,211,52.5,18+,San Bernardino
2013,92325,35,120.6,18+,San Bernardino
2013,92335,363,57.9,18+,San Bernardino
2013,92336,173,26.5,18+,San Bernardino
2013,92337,95,38.4,18+,San Bernardino
2013,92342,32,73.0,18+,San Bernardino
2013,92344,37,27.5,18+,San Bernardino
2013,92345,331,57.3,18+,San Bernardino
2013,92346,125,28.8,18+,San Bernardino
2013,92352,16,70.8,18+,San Bernardino
2013,92354,53,28.8,18+,San Bernardino
2013,92356,27,55.9,18+,San Bernardino
2013,92359,29,44.4,18+,San Bernardino
2013,92363,73,187.4,18+,San Bernardino
2013,92371,74,61.7,18+,San Bernardino
2013,92373,65,27.7,18+,San Bernardino
2013,92374,102,32.7,18+,San Bernardino
2013,92376,329,59.1,18+,San Bernardino
2013,92377,77,46.5,18+,San Bernardino
2013,92392,245,63.7,18+,San Bernardino
2013,92394,157,64.5,18+,San Bernardino
2013,92395,252,83.5,18+,San Bernardino
2013,92397,13,53.0,18+,San Bernardino
2013,92399,122,31.2,18+,San Bernardino
2013,92404,429,94.1,18+,San Bernardino
2013,92405,189,94.8,18+,San Bernardino
2013,92407,249,57.6,18+,San Bernardino
2013,92408,61,48.9,18+,San Bernardino
2013,92410,351,105.9,18+,San Bernardino
2013,92411,219,129.6,18+,San Bernardino
2013,92501,115,71.5,18+,Riverside
2013,92503,241,39.4,18+,Riverside
2013,92504,174,41.3,18+,Riverside
2013,92505,127,35.4,18+,Riverside
2013,92506,99,31.7,18+,Riverside
2013,92507,175,44.7,18+,Riverside
2013,92508,56,22.9,18+,Riverside
2013,92509,178,31.2,18+,Riverside
2013,92530,137,37.2,18+,Riverside
2013,92532,35,26.1,18+,Riverside
2013,92539,14,33.7,18+,Riverside
2013,92543,168,76.0,18+,Riverside
2013,92544,141,38.8,18+,Riverside
2013,92545,124,45.4,18+,Riverside
2013,92548,29,55.4,18+,Riverside
2013,92551,83,34.8,18+,Riverside
2013,92553,282,54.0,18+,Riverside
2013,92555,113,40.9,18+,Riverside
2013,92557,102,27.2,18+,Riverside
2013,92562,113,24.7,18+,Riverside
2013,92563,96,22.1,18+,Riverside
2013,92567,13,20.7,18+,Riverside
2013,92570,160,42.6,18+,Riverside
2013,92571,117,34.9,18+,Riverside
2013,92582,36,32.2,18+,Riverside
2013,92583,94,42.5,18+,Riverside
2013,92584,95,31.3,18+,Riverside
2013,92585,27,18.7,18+,Riverside
2013,92586,73,52.7,18+,Riverside
2013,92587,44,35.0,18+,Riverside
2013,92591,68,24.0,18+,Riverside
2013,92592,108,19.5,18+,Riverside
2013,92595,64,27.3,18+,Riverside
2013,92596,26,19.6,18+,Riverside
2013,92602,24,17.2,18+,Orange
2013,92603,14,8.7,18+,Orange
2013,92604,45,19.4,18+,Orange
2013,92606,23,17.1,18+,Orange
2013,92610,17,24.0,18+,Orange
2013,92612,33,13.6,18+,Orange
2013,92614,17,10.1,18+,Orange
2013,92618,33,26.0,18+,Orange
2013,92620,43,13.8,18+,Orange
2013,92624,17,29.3,18+,Orange
2013,92625,28,25.1,18+,Orange
2013,92626,109,26.7,18+,Orange
2013,92627,150,31.9,18+,Orange
2013,92629,39,20.4,18+,Orange
2013,92630,110,24.8,18+,Orange
2013,92637,46,20.7,18+,Orange
2013,92646,84,18.4,18+,Orange
2013,92647,124,28.8,18+,Orange
2013,92648,98,26.5,18+,Orange
2013,92649,48,17.1,18+,Orange
2013,92651,36,18.4,18+,Orange
2013,92653,51,20.6,18+,Orange
2013,92655,23,44.1,18+,Orange
2013,92656,50,16.6,18+,Orange
2013,92660,58,20.1,18+,Orange
2013,92663,37,19.0,18+,Orange
2013,92672,58,18.3,18+,Orange
2013,92673,33,14.4,18+,Orange
2013,92675,55,18.4,18+,Orange
2013,92677,88,17.8,18+,Orange
2013,92679,35,18.3,18+,Orange
2013,92683,236,33.1,18+,Orange
2013,92688,47,17.6,18+,Orange
2013,92691,64,17.3,18+,Orange
2013,92692,58,14.7,18+,Orange
2013,92694,16,14.5,18+,Orange
2013,92701,142,41.4,18+,Orange
2013,92703,128,28.8,18+,Orange
2013,92704,157,27.0,18+,Orange
2013,92705,59,17.9,18+,Orange
2013,92706,62,24.7,18+,Orange
2013,92707,134,33.8,18+,Orange
2013,92708,81,17.9,18+,Orange
2013,92780,111,25.4,18+,Orange
2013,92782,25,12.7,18+,Orange
2013,92801,221,52.4,18+,Orange
2013,92802,114,36.6,18+,Orange
2013,92804,236,37.6,18+,Orange
2013,92805,156,31.5,18+,Orange
2013,92806,143,48.1,18+,Orange
2013,92807,56,19.9,18+,Orange
2013,92808,22,15.6,18+,Orange
2013,92821,64,23.2,18+,Orange
2013,92831,99,36.9,18+,Orange
2013,92832,79,41.9,18+,Orange
2013,92833,136,34.7,18+,Orange
2013,92835,30,16.7,18+,Orange
2013,92840,115,28.0,18+,Orange
2013,92841,94,36.8,18+,Orange
2013,92843,117,36.5,18+,Orange
2013,92844,45,25.5,18+,Orange
2013,92845,14,11.0,18+,Orange
2013,92860,66,30.0,18+,Riverside
2013,92865,38,24.1,18+,Orange
2013,92866,48,41.2,18+,Orange
2013,92867,49,14.0,18+,Orange
2013,92868,45,24.7,18+,Orange
2013,92869,51,17.6,18+,Orange
2013,92870,104,26.4,18+,Orange
2013,92879,122,36.5,18+,Riverside
2013,92880,88,21.6,18+,Riverside
2013,92881,43,17.1,18+,Riverside
2013,92882,134,28.0,18+,Riverside
2013,92883,44,20.8,18+,Riverside
2013,92886,94,22.8,18+,Orange
2013,92887,17,10.4,18+,Orange
2013,93001,79,32.2,18+,Ventura
2013,93003,85,21.9,18+,Ventura
2013,93004,46,19.4,18+,Ventura
2013,93010,86,24.8,18+,Ventura
2013,93012,54,18.6,18+,Ventura
2013,93013,21,17.9,18+,Santa Barbara
2013,93015,38,28.1,18+,Ventura
2013,93021,52,22.2,18+,Ventura
2013,93022,17,38.6,18+,Ventura
2013,93023,71,46.2,18+,Ventura
2013,93030,272,69.9,18+,Ventura
2013,93033,148,27.4,18+,Ventura
2013,93035,41,18.9,18+,Ventura
2013,93036,81,26.8,18+,Ventura
2013,93041,57,32.1,18+,Ventura
2013,93060,88,36.0,18+,Ventura
2013,93063,96,23.2,18+,Ventura
2013,93065,130,24.8,18+,Ventura
2013,93101,98,41.8,18+,Santa Barbara
2013,93103,43,29.6,18+,Santa Barbara
2013,93105,36,15.8,18+,Santa Barbara
2013,93110,28,23.2,18+,Santa Barbara
2013,93111,31,20.3,18+,Santa Barbara
2013,93117,56,13.4,18+,Santa Barbara
2013,93202,29,158.6,18+,Kings
