Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,91356,86.0,34.2,0,LOS ANGELES
2013,91360,63.0,18.3,0,VENTURA
2013,91361,18.0,8.8,0,VENTURA
2013,91362,54.0,23.6,0,VENTURA
2013,91364,49.0,22.8,0,LOS ANGELES
2013,91367,86.0,25.7,0,LOS ANGELES
2013,91381,15.0,13.1,0,LOS ANGELES
2013,91384,63.0,25.0,0,LOS ANGELES
2013,91387,79.0,26.4,0,LOS ANGELES
2013,91390,12.0,8.5,0,LOS ANGELES
2013,91401,116.0,34.4,0,LOS ANGELES
2013,91402,411.0,85.1,0,LOS ANGELES
2013,91403,40.0,21.1,0,LOS ANGELES
2013,91405,315.0,83.4,0,LOS ANGELES
2013,91406,214.0,53.3,0,LOS ANGELES
2013,91411,86.0,43.8,0,LOS ANGELES
2013,91423,44.0,15.7,0,LOS ANGELES
2013,91436,25.0,19.6,0,LOS ANGELES
2013,91501,48.0,27.5,0,LOS ANGELES
2013,91502,21.0,21.4,0,LOS ANGELES
2013,91504,56.0,27.9,0,LOS ANGELES
2013,91505,65.0,26.0,0,LOS ANGELES
2013,91506,47.0,30.7,0,LOS ANGELES
2013,91601,134.0,43.3,0,LOS ANGELES
2013,91602,30.0,20.9,0,LOS ANGELES
2013,91604,57.0,21.4,0,LOS ANGELES
2013,91605,231.0,56.1,0,LOS ANGELES
2013,91606,162.0,51.0,0,LOS ANGELES
2013,91607,55.0,21.6,0,LOS ANGELES
2013,91701,67.0,22.2,0,SAN BERNARDINO
2013,91702,170.0,38.0,0,LOS ANGELES
2013,91706,217.0,41.7,0,LOS ANGELES
2013,91708,14.0,63.2,0,SAN BERNARDINO
2013,91709,77.0,16.6,0,SAN BERNARDINO
2013,91710,182.0,30.8,0,SAN BERNARDINO
2013,91711,68.0,27.0,0,LOS ANGELES
2013,91722,99.0,37.8,0,LOS ANGELES
2013,91723,67.0,46.5,0,LOS ANGELES
2013,91724,93.0,42.6,0,LOS ANGELES
2013,91730,149.0,31.3,0,SAN BERNARDINO
2013,91731,83.0,39.7,0,LOS ANGELES
2013,91732,193.0,42.9,0,LOS ANGELES
2013,91733,116.0,35.5,0,LOS ANGELES
2013,91737,37.0,20.0,0,SAN BERNARDINO
2013,91739,71.0,29.1,0,SAN BERNARDINO
2013,91740,74.0,38.5,0,LOS ANGELES
2013,91741,48.0,23.0,0,LOS ANGELES
2013,91744,258.0,44.2,0,LOS ANGELES
2013,91745,114.0,25.7,0,LOS ANGELES
2013,91746,65.0,29.4,0,LOS ANGELES
2013,91748,62.0,16.7,0,LOS ANGELES
2013,91750,65.0,25.4,0,LOS ANGELES
2013,91752,71.0,30.0,0,RIVERSIDE
2013,91754,51.0,17.1,0,LOS ANGELES
2013,91755,30.0,13.9,0,LOS ANGELES
2013,91761,135.0,31.2,0,SAN BERNARDINO
2013,91762,175.0,43.1,0,SAN BERNARDINO
2013,91763,129.0,48.5,0,SAN BERNARDINO
2013,91764,233.0,59.9,0,SAN BERNARDINO
2013,91765,59.0,15.3,0,LOS ANGELES
2013,91766,236.0,49.2,0,LOS ANGELES
2013,91767,196.0,58.1,0,LOS ANGELES
2013,91768,120.0,46.2,0,LOS ANGELES
2013,91770,118.0,24.2,0,LOS ANGELES
2013,91773,73.0,27.9,0,LOS ANGELES
2013,91775,34.0,17.5,0,LOS ANGELES
2013,91776,64.0,20.3,0,LOS ANGELES
2013,91780,48.0,16.5,0,LOS ANGELES
2013,91784,47.0,25.1,0,SAN BERNARDINO
2013,91786,243.0,58.8,0,SAN BERNARDINO
2013,91789,69.0,22.9,0,LOS ANGELES
2013,91790,114.0,32.3,0,LOS ANGELES
2013,91791,57.0,23.3,0,LOS ANGELES
2013,91792,73.0,28.4,0,LOS ANGELES
2013,91801,94.0,21.6,0,LOS ANGELES
2013,91803,51.0,21.1,0,LOS ANGELES
2013,91901,43.0,37.2,0,SAN DIEGO
2013,91902,32.0,22.8,0,SAN DIEGO
2013,91906,17.0,72.4,0,SAN DIEGO
2013,91910,216.0,37.0,0,SAN DIEGO
